vintage,collateral_type,ead_eur,ltv_at_default,dpd_at_workout,workout_months,borrower_age,employment_status,unemployment_pct,hpi_yoy_pct,realised_lgd
2021H1,mortgage,73432.54,0.6671,136,19.2,51,self_employed,8.7,1.4,0.16846
2020H2,unsecured,5321.96,,101,11.54,55,self_employed,9.6,-3.2,0.83331
2021H1,auto,8045.9,0.6644,120,11.1,51,retired,8.7,1.4,0.30189
2020H1,auto,19051.2,0.6472,144,11.04,70,unemployed,9.2,-1.5,0.46621
2021H2,mortgage,45547.7,0.9222,196,33.67,57,employed,7.9,5.6,0.17617
2020H2,mortgage,104210.37,0.9076,107,25.5,59,employed,9.6,-3.2,0.23722
2021H2,mortgage,94548.42,0.6318,106,19.6,61,employed,7.9,5.6,0.00936
2022H2,unsecured,3088.43,,128,9.27,39,employed,8.1,-4.4,0.7988
2021H1,mortgage,227228.97,0.9445,97,22.67,45,employed,8.7,1.4,0.22068
2023H1,unsecured,7146.18,,157,4.26,43,employed,7.6,-2.1,0.74867
2020H1,auto,19196.26,0.8367,139,7.32,49,employed,9.2,-1.5,0.27145
2022H2,personal_secured,7611.96,0.5352,156,24.37,35,employed,8.1,-4.4,0.51798
2022H2,unsecured,15538.92,,193,6.2,67,employed,8.1,-4.4,0.66265
2020H1,personal_secured,31745.93,0.6972,123,6.89,31,unemployed,9.2,-1.5,0.48976
2020H2,mortgage,114157.33,0.6389,162,19.34,44,employed,9.6,-3.2,0.06618
2023H1,unsecured,10374.41,,106,12.27,61,employed,7.6,-2.1,0.66954
2023H2,unsecured,7331.79,,107,6.9,62,employed,7.2,1.8,0.70384
2022H2,mortgage,243193.13,0.7793,207,29.71,47,employed,8.1,-4.4,0.2067
2020H2,unsecured,7565.43,,199,13.47,49,employed,9.6,-3.2,0.69181
2023H1,unsecured,4446.69,,111,14.28,45,unemployed,7.6,-2.1,0.74373
2023H2,mortgage,142091.29,1.1401,136,19.64,31,employed,7.2,1.8,0.35412
2019H1,unsecured,12380.62,,178,10.61,36,employed,6.8,4.2,0.63181
2022H1,personal_secured,7839.74,0.835,143,18.56,55,employed,7.4,3.1,0.4187
2020H2,mortgage,96354.15,0.6244,99,20.83,38,retired,9.6,-3.2,0.54951
2023H2,mortgage,60105.56,0.6163,206,26.41,29,unemployed,7.2,1.8,0.1323
2019H2,mortgage,208099.27,0.6671,160,22.45,64,retired,6.9,3.8,0.23577
2023H1,mortgage,227345.57,0.6531,178,19.89,45,self_employed,7.6,-2.1,0.06609
2023H1,unsecured,5516.05,,160,11.42,24,unemployed,7.6,-2.1,0.83898
2023H2,personal_secured,8351.43,0.867,189,14.16,46,employed,7.2,1.8,0.6504
2023H1,auto,20809.74,0.7957,147,12.68,40,unemployed,7.6,-2.1,0.41811
2021H1,auto,24996.14,0.7021,139,14.61,35,unemployed,8.7,1.4,0.42518
2022H2,auto,16099.31,0.7952,133,9.48,70,unemployed,8.1,-4.4,0.49275
2019H2,personal_secured,10437.1,1.0408,95,18.32,29,unemployed,6.9,3.8,0.59707
2022H2,mortgage,278598.28,0.7656,107,17.91,55,employed,8.1,-4.4,0.26054
2022H1,mortgage,105343.09,0.8281,118,20.02,38,employed,7.4,3.1,0.2337
2022H1,personal_secured,11439.71,0.6134,136,13.88,29,employed,7.4,3.1,0.27161
2019H1,unsecured,6369.44,,146,5.9,43,unemployed,6.8,4.2,0.88646
2020H1,personal_secured,13788.2,0.7318,148,9.25,34,employed,9.2,-1.5,0.71558
2022H2,mortgage,67121.06,0.951,176,29.21,53,employed,8.1,-4.4,0.23402
2020H2,mortgage,150027.37,0.8091,144,26.06,42,employed,9.6,-3.2,0.27988
2021H2,auto,38370.89,1.0162,198,10.73,47,employed,7.9,5.6,0.24975
2023H1,unsecured,5098.0,,104,3.0,36,retired,7.6,-2.1,0.3913
2023H1,auto,11402.24,0.9419,110,18.79,47,retired,7.6,-2.1,0.61488
2021H1,personal_secured,11190.91,0.8062,156,16.19,38,retired,8.7,1.4,0.44282
2021H2,unsecured,11569.01,,164,14.9,28,employed,7.9,5.6,0.73725
2019H1,personal_secured,11066.85,0.6165,132,12.35,60,retired,6.8,4.2,0.44803
2021H1,mortgage,150774.74,0.8244,205,22.74,48,employed,8.7,1.4,0.49534
2022H2,personal_secured,17919.55,0.7537,92,20.35,61,unemployed,8.1,-4.4,0.62836
2020H2,unsecured,3694.37,,108,3.0,53,unemployed,9.6,-3.2,0.54278
2019H2,unsecured,2926.72,,136,7.75,34,employed,6.9,3.8,0.77993
2021H1,mortgage,102855.73,0.8028,152,12.15,46,self_employed,8.7,1.4,0.27555
2022H1,mortgage,149991.6,0.6916,103,24.84,53,employed,7.4,3.1,0.1903
2020H2,personal_secured,13953.57,0.69,183,18.18,21,employed,9.6,-3.2,0.33094
2022H1,auto,6688.83,0.9898,128,9.2,48,employed,7.4,3.1,0.52603
2021H1,auto,18745.85,0.8386,161,13.53,55,employed,8.7,1.4,0.41656
2022H2,mortgage,164979.47,0.6012,153,24.58,32,employed,8.1,-4.4,0.22613
2023H2,auto,18295.41,0.5657,116,11.1,43,employed,7.2,1.8,0.44268
2023H2,unsecured,3985.52,,159,3.61,47,employed,7.2,1.8,0.68721
2020H1,mortgage,119129.27,0.7709,122,20.35,38,employed,9.2,-1.5,0.18469
2023H1,mortgage,100645.34,0.6895,189,18.19,40,employed,7.6,-2.1,0.08781
2020H2,mortgage,258411.49,0.8096,170,25.12,37,employed,9.6,-3.2,0.10725
2019H2,auto,16513.59,0.7524,123,10.83,20,employed,6.9,3.8,0.42607
2023H2,mortgage,105842.83,0.7246,136,22.5,42,employed,7.2,1.8,0.06437
2022H2,mortgage,140815.14,0.6564,139,20.41,34,employed,8.1,-4.4,0.34687
2022H1,unsecured,9349.94,,162,7.65,44,employed,7.4,3.1,0.7772
2020H1,personal_secured,15379.78,0.7645,112,15.94,47,employed,9.2,-1.5,0.52438
2022H2,auto,15589.28,0.7951,173,14.61,48,retired,8.1,-4.4,0.37689
2023H1,unsecured,3521.95,,196,4.05,45,employed,7.6,-2.1,0.59802
2021H1,mortgage,155859.93,0.8021,142,14.66,62,employed,8.7,1.4,0.37729
2021H1,unsecured,11069.76,,190,3.91,58,retired,8.7,1.4,0.92096
2021H2,mortgage,121799.47,0.6519,140,17.95,53,employed,7.9,5.6,0.01111
2022H1,mortgage,129882.54,1.057,125,12.32,32,employed,7.4,3.1,0.20835
2021H1,personal_secured,17151.99,1.0206,123,14.54,30,employed,8.7,1.4,0.63476
2023H2,unsecured,4680.54,,120,6.1,20,employed,7.2,1.8,0.62503
2023H1,mortgage,126478.35,0.7875,155,25.65,28,employed,7.6,-2.1,0.56942
2021H1,personal_secured,9678.95,0.9726,101,11.72,41,self_employed,8.7,1.4,0.77553
2022H1,mortgage,143675.28,0.3604,134,20.22,73,unemployed,7.4,3.1,0.0124
2019H1,unsecured,14412.72,,141,5.88,61,retired,6.8,4.2,0.71638
2023H2,mortgage,127528.19,0.6722,122,38.55,43,employed,7.2,1.8,0.12367
2020H2,mortgage,77119.97,0.8036,154,21.45,41,retired,9.6,-3.2,0.4007
2023H2,mortgage,172537.99,0.8619,188,27.56,45,employed,7.2,1.8,0.41069
2022H2,unsecured,13925.48,,107,13.53,54,employed,8.1,-4.4,0.71659
2020H2,unsecured,4215.7,,126,14.53,51,unemployed,9.6,-3.2,0.83004
2023H2,personal_secured,8154.66,0.7342,123,19.78,48,employed,7.2,1.8,0.46042
2020H1,auto,30580.15,1.1065,130,6.18,46,employed,9.2,-1.5,0.59313
2019H2,auto,12094.33,0.8032,120,17.4,59,self_employed,6.9,3.8,0.12366
2022H1,mortgage,173528.36,0.8738,112,21.89,52,employed,7.4,3.1,0.11133
2023H2,mortgage,144741.43,0.6264,162,19.6,42,employed,7.2,1.8,0.04489
2019H1,mortgage,318822.12,0.6478,103,33.14,49,unemployed,6.8,4.2,0.05156
2023H2,unsecured,7893.25,,196,12.57,41,unemployed,7.2,1.8,0.53012
2021H2,unsecured,10032.7,,115,6.31,43,self_employed,7.9,5.6,0.78515
2021H2,unsecured,2410.18,,180,11.54,31,employed,7.9,5.6,0.52899
2020H1,mortgage,108578.73,0.5264,111,20.01,35,employed,9.2,-1.5,0.40217
2020H2,unsecured,8835.81,,133,6.46,56,employed,9.6,-3.2,0.76426
2020H1,mortgage,138189.2,0.7049,104,23.38,41,unemployed,9.2,-1.5,0.14407
2019H1,unsecured,8339.19,,203,11.49,42,employed,6.8,4.2,0.71546
2023H1,unsecured,11064.91,,207,17.13,48,employed,7.6,-2.1,0.93069
2022H2,unsecured,6054.9,,184,3.0,45,employed,8.1,-4.4,0.64973
2023H2,mortgage,59230.57,0.8275,197,17.89,45,employed,7.2,1.8,0.33603
2021H2,mortgage,55182.38,0.9077,111,30.43,44,employed,7.9,5.6,0.27884
2021H2,unsecured,12698.95,,133,4.81,35,employed,7.9,5.6,0.69217
2022H1,mortgage,91564.42,0.627,97,23.26,31,self_employed,7.4,3.1,0.02082
2021H2,mortgage,177534.9,0.7861,163,31.01,56,unemployed,7.9,5.6,0.17391
2020H2,auto,17147.02,0.5505,188,15.45,53,retired,9.6,-3.2,0.29062
2020H2,mortgage,38909.91,0.6752,175,24.93,59,employed,9.6,-3.2,0.20513
2023H1,mortgage,93908.65,0.817,93,28.48,67,employed,7.6,-2.1,0.29312
2022H1,unsecured,4444.9,,95,13.78,54,unemployed,7.4,3.1,0.82302
2022H2,unsecured,3928.48,,102,10.42,39,employed,8.1,-4.4,0.65745
2023H1,personal_secured,14462.59,0.6703,126,17.65,77,self_employed,7.6,-2.1,0.4835
2020H1,personal_secured,6911.81,0.6726,153,14.45,56,unemployed,9.2,-1.5,0.70002
2019H2,unsecured,14251.3,,137,15.36,49,employed,6.9,3.8,0.72485
2020H1,mortgage,98859.61,0.6502,118,29.5,20,employed,9.2,-1.5,0.2127
2021H2,auto,15590.99,0.8011,103,11.5,40,employed,7.9,5.6,0.24417
2023H1,auto,14365.04,0.587,203,13.95,29,employed,7.6,-2.1,0.26212
2021H1,unsecured,8268.58,,114,4.57,25,employed,8.7,1.4,0.71321
2020H2,mortgage,76393.65,0.6105,165,24.09,40,retired,9.6,-3.2,0.21238
2020H2,personal_secured,11296.7,0.8455,164,18.35,61,employed,9.6,-3.2,0.58822
2019H1,mortgage,90447.08,0.5344,207,25.27,41,employed,6.8,4.2,0.0999
2023H1,mortgage,127175.83,0.6234,177,23.86,57,employed,7.6,-2.1,0.12348
2022H2,unsecured,14239.3,,121,12.28,41,retired,8.1,-4.4,0.82744
2023H2,personal_secured,14167.12,0.7,143,15.99,55,employed,7.2,1.8,0.20093
2022H1,mortgage,52114.26,0.6357,133,33.98,36,employed,7.4,3.1,0.21594
2019H1,mortgage,132071.03,0.6074,170,18.53,39,retired,6.8,4.2,0.00382
2020H1,unsecured,26141.67,,175,11.18,49,unemployed,9.2,-1.5,0.88226
2023H2,mortgage,170873.48,0.7162,95,23.32,65,self_employed,7.2,1.8,0.04506
2023H2,mortgage,195585.64,0.957,124,16.25,56,self_employed,7.2,1.8,0.12301
2021H1,unsecured,3418.34,,96,4.97,36,self_employed,8.7,1.4,0.88015
2021H2,unsecured,6671.48,,119,9.73,62,employed,7.9,5.6,0.32212
2021H1,mortgage,139074.03,0.8423,208,29.38,48,unemployed,8.7,1.4,0.27685
2021H1,mortgage,146090.31,0.8555,142,23.1,33,unemployed,8.7,1.4,0.25832
2022H2,unsecured,6107.38,,173,9.32,42,employed,8.1,-4.4,0.62914
2022H1,mortgage,101515.85,0.6574,98,25.76,30,retired,7.4,3.1,0.11165
2023H2,mortgage,222359.68,0.9301,100,28.5,54,self_employed,7.2,1.8,0.38483
2019H1,unsecured,10917.42,,125,10.05,25,employed,6.8,4.2,0.75499
2020H2,auto,12430.37,0.7777,195,18.33,45,employed,9.6,-3.2,0.41032
2020H2,auto,26303.77,0.7594,206,6.73,41,employed,9.6,-3.2,0.34372
2019H2,mortgage,119247.86,0.727,113,21.93,59,self_employed,6.9,3.8,0.03558
2022H1,mortgage,91503.25,0.7852,102,25.5,65,employed,7.4,3.1,0.07639
2022H1,mortgage,126030.32,0.6843,114,25.28,49,self_employed,7.4,3.1,0.04293
2019H2,unsecured,3428.28,,193,7.23,38,employed,6.9,3.8,0.85922
2020H1,mortgage,407405.98,1.0394,200,26.14,66,unemployed,9.2,-1.5,0.69903
2020H2,mortgage,106500.42,0.6661,197,15.96,32,unemployed,9.6,-3.2,0.31121
2023H1,auto,19451.24,0.5184,205,10.69,49,employed,7.6,-2.1,0.4855
2022H2,unsecured,5692.1,,174,8.15,31,employed,8.1,-4.4,0.42734
2020H2,mortgage,160535.63,1.1906,124,26.26,49,employed,9.6,-3.2,0.34227
2019H2,unsecured,11404.83,,100,5.02,34,employed,6.9,3.8,0.64147
2020H2,personal_secured,11375.29,0.8295,179,20.63,72,employed,9.6,-3.2,0.3035
2023H1,unsecured,8130.24,,167,3.0,46,employed,7.6,-2.1,0.7912
2019H2,mortgage,138537.46,0.919,184,23.01,58,employed,6.9,3.8,0.22911
2019H1,mortgage,74698.06,0.9971,124,26.55,66,employed,6.8,4.2,0.4497
2021H1,mortgage,50673.57,0.858,127,23.91,42,unemployed,8.7,1.4,0.4228
2023H2,mortgage,102142.36,0.8597,142,25.99,51,employed,7.2,1.8,0.20096
2022H1,unsecured,12261.9,,143,10.1,47,employed,7.4,3.1,0.76783
2021H1,unsecured,7297.16,,169,7.07,27,employed,8.7,1.4,0.84854
2023H2,mortgage,169859.16,0.4617,105,22.64,41,employed,7.2,1.8,0.09435
2020H1,mortgage,109860.09,0.5772,146,19.93,50,employed,9.2,-1.5,0.11392
2022H2,unsecured,15422.65,,119,11.97,64,self_employed,8.1,-4.4,0.8046
2019H1,unsecured,7991.72,,123,8.98,37,employed,6.8,4.2,0.59994
2020H2,personal_secured,8656.05,0.8564,188,10.71,42,employed,9.6,-3.2,0.52731
2020H1,unsecured,9702.12,,135,4.83,32,employed,9.2,-1.5,0.75012
2019H2,mortgage,67837.54,0.7148,159,32.02,55,employed,6.9,3.8,0.03492
2021H2,auto,19283.7,0.7105,197,10.8,34,self_employed,7.9,5.6,0.38627
2020H1,unsecured,43785.92,,135,6.43,56,self_employed,9.2,-1.5,0.89507
2023H1,mortgage,226495.46,0.8403,135,27.11,41,employed,7.6,-2.1,0.09822
2023H2,unsecured,4346.18,,187,15.61,33,self_employed,7.2,1.8,0.71232
2023H2,auto,12360.79,0.6497,113,12.87,37,employed,7.2,1.8,0.2947
2023H2,personal_secured,17903.9,0.5581,161,18.7,26,employed,7.2,1.8,0.29977
2020H1,unsecured,7023.36,,145,3.86,28,unemployed,9.2,-1.5,0.80418
2019H1,mortgage,55190.04,0.7595,148,27.43,50,employed,6.8,4.2,0.06135
2021H2,mortgage,122336.76,0.7824,175,22.16,66,employed,7.9,5.6,0.15363
2022H2,mortgage,84535.22,0.7498,149,21.8,59,employed,8.1,-4.4,0.30385
2023H1,mortgage,131782.96,0.6897,128,15.05,23,employed,7.6,-2.1,0.18485
2021H2,auto,14451.33,0.6423,142,10.88,47,employed,7.9,5.6,0.02959
2022H1,mortgage,131988.4,0.8437,146,27.13,39,self_employed,7.4,3.1,0.36071
2021H2,mortgage,54064.93,0.7976,165,18.96,48,self_employed,7.9,5.6,0.26597
2021H2,mortgage,143254.11,0.9122,95,21.15,40,retired,7.9,5.6,0.25598
2020H2,mortgage,75315.04,0.8171,188,21.93,42,self_employed,9.6,-3.2,0.37157
2023H1,unsecured,8292.69,,126,4.82,51,employed,7.6,-2.1,0.77995
2020H2,mortgage,116034.92,0.7915,177,27.62,20,employed,9.6,-3.2,0.20417
2022H2,mortgage,48468.61,0.889,188,19.84,64,retired,8.1,-4.4,0.19607
2021H1,unsecured,19921.6,,103,4.5,68,employed,8.7,1.4,0.71199
2020H2,mortgage,57795.24,0.8039,202,15.29,42,employed,9.6,-3.2,0.32558
2023H1,mortgage,109866.16,0.7654,128,22.45,51,self_employed,7.6,-2.1,0.59891
2022H1,unsecured,9958.59,,197,11.77,54,self_employed,7.4,3.1,0.40552
2022H2,mortgage,85393.18,0.4664,200,21.11,39,retired,8.1,-4.4,0.14364
2019H1,mortgage,430232.03,0.8184,172,17.25,28,retired,6.8,4.2,0.18042
2021H1,auto,9502.24,0.8134,178,11.3,63,employed,8.7,1.4,0.30782
2021H2,mortgage,90322.6,0.8185,107,28.78,34,unemployed,7.9,5.6,0.32804
2020H1,auto,18615.38,0.4932,97,9.98,26,employed,9.2,-1.5,0.60153
2019H2,mortgage,132545.4,0.6283,111,19.55,48,employed,6.9,3.8,0.06378
2022H1,mortgage,82363.28,0.6897,135,11.0,46,employed,7.4,3.1,0.12965
2021H2,unsecured,22996.03,,206,16.53,42,employed,7.9,5.6,0.6715
2021H2,mortgage,255305.78,0.6224,171,23.99,59,employed,7.9,5.6,0.06911
2020H1,unsecured,2371.24,,128,3.0,62,employed,9.2,-1.5,0.83284
2023H2,auto,13432.93,0.7154,136,17.56,38,employed,7.2,1.8,0.31778
2019H1,mortgage,85364.33,0.9424,173,30.45,56,employed,6.8,4.2,0.07432
2021H2,auto,21444.86,0.8742,186,11.53,20,employed,7.9,5.6,0.15377
2019H2,mortgage,88519.26,0.5854,100,26.9,75,employed,6.9,3.8,0.06331
2019H1,mortgage,123534.33,0.8732,191,20.65,49,employed,6.8,4.2,0.33817
2023H1,unsecured,1728.12,,119,11.01,39,retired,7.6,-2.1,0.78072
2021H1,mortgage,112177.53,0.8204,168,25.05,57,unemployed,8.7,1.4,0.13759
2019H2,unsecured,4927.89,,140,6.84,42,employed,6.9,3.8,0.89708
2021H2,personal_secured,14906.64,0.6097,175,19.19,60,employed,7.9,5.6,0.4609
2022H1,unsecured,14986.91,,103,11.36,51,employed,7.4,3.1,0.73901
2019H1,mortgage,87683.82,0.6096,144,20.45,37,employed,6.8,4.2,0.16376
2023H2,mortgage,139870.99,0.6121,111,26.82,28,employed,7.2,1.8,0.18162
2023H1,mortgage,303030.91,0.6896,205,16.91,40,employed,7.6,-2.1,0.11861
2023H2,unsecured,12609.63,,119,6.45,33,self_employed,7.2,1.8,0.75445
2020H1,auto,21996.21,1.1169,198,8.8,21,employed,9.2,-1.5,0.79189
2022H2,mortgage,91374.04,0.5395,148,21.88,48,retired,8.1,-4.4,0.05073
2023H2,mortgage,60914.3,0.9132,152,23.16,54,employed,7.2,1.8,0.27217
2021H2,auto,12358.06,0.8961,175,12.25,40,unemployed,7.9,5.6,0.44469
2022H2,personal_secured,12236.19,0.6825,108,12.7,59,employed,8.1,-4.4,0.60024
2020H1,auto,15147.73,1.0051,184,17.79,34,employed,9.2,-1.5,0.64335
2023H2,mortgage,104175.64,0.8659,176,23.26,45,employed,7.2,1.8,0.26535
2023H2,mortgage,201682.21,0.7256,107,28.08,52,self_employed,7.2,1.8,0.30615
2019H1,unsecured,5457.21,,143,3.49,45,employed,6.8,4.2,0.63731
2023H2,mortgage,306057.37,1.0754,157,21.2,34,employed,7.2,1.8,0.18852
2021H1,auto,21025.25,0.9353,99,13.28,20,unemployed,8.7,1.4,0.54379
2023H2,unsecured,5358.22,,172,5.78,45,unemployed,7.2,1.8,0.8245
2020H2,mortgage,196467.33,0.8569,190,24.57,57,employed,9.6,-3.2,0.68403
2021H2,unsecured,4878.99,,206,7.39,49,self_employed,7.9,5.6,0.85893
2020H2,unsecured,13237.2,,182,9.15,77,employed,9.6,-3.2,0.82028
2022H1,auto,19614.05,0.9356,205,15.26,37,employed,7.4,3.1,0.72201
2023H1,personal_secured,13982.05,0.6486,119,7.66,41,unemployed,7.6,-2.1,0.61041
2020H2,mortgage,48128.94,0.8152,185,22.81,29,unemployed,9.6,-3.2,0.39007
2021H1,personal_secured,11642.18,0.9097,140,3.62,47,self_employed,8.7,1.4,0.33497
2021H2,mortgage,208678.68,0.4925,123,15.97,49,employed,7.9,5.6,0.00303
2020H2,unsecured,4408.61,,110,6.2,39,employed,9.6,-3.2,0.62136
2020H1,auto,17031.42,0.7111,199,16.1,41,employed,9.2,-1.5,0.21895
2022H1,auto,12181.87,0.7166,181,10.42,46,retired,7.4,3.1,0.38505
2023H1,mortgage,59879.11,0.6958,90,23.25,61,retired,7.6,-2.1,0.19882
2021H2,mortgage,101001.97,0.709,206,24.54,57,employed,7.9,5.6,0.01527
2020H2,mortgage,247697.58,0.8398,114,21.1,48,unemployed,9.6,-3.2,0.59718
2021H2,mortgage,192616.44,0.7365,172,30.17,61,self_employed,7.9,5.6,0.02223
2023H2,mortgage,146685.69,0.7006,128,21.51,31,self_employed,7.2,1.8,0.04843
2021H1,auto,17364.99,0.8028,101,16.33,45,self_employed,8.7,1.4,0.45466
2021H2,mortgage,127344.7,0.7917,167,23.6,44,employed,7.9,5.6,0.10646
2021H1,mortgage,62068.13,0.6954,122,28.44,33,employed,8.7,1.4,0.05003
2023H1,unsecured,13605.35,,192,7.8,52,employed,7.6,-2.1,0.63348
2019H1,unsecured,4502.39,,100,12.34,20,employed,6.8,4.2,0.73152
2021H2,mortgage,80585.44,0.6984,198,12.98,56,employed,7.9,5.6,0.06454
2022H1,unsecured,13214.05,,207,3.0,29,employed,7.4,3.1,0.45671
2022H1,auto,9855.89,0.7791,194,14.04,47,employed,7.4,3.1,0.18756
2021H2,mortgage,135172.29,0.7839,90,18.97,53,employed,7.9,5.6,0.21794
2020H1,unsecured,5266.74,,116,5.1,54,employed,9.2,-1.5,0.89374
2020H2,unsecured,3851.18,,132,5.75,41,unemployed,9.6,-3.2,0.7951
2020H2,auto,29010.29,0.7438,121,20.14,64,employed,9.6,-3.2,0.38007
2022H2,mortgage,369202.49,0.6866,139,24.78,51,unemployed,8.1,-4.4,0.30767
2021H2,mortgage,41760.44,0.7429,155,29.93,47,employed,7.9,5.6,0.09309
2019H1,mortgage,70664.69,1.0291,170,22.37,48,self_employed,6.8,4.2,0.15309
2023H2,mortgage,192694.88,0.583,90,22.04,43,self_employed,7.2,1.8,0.34723
2019H1,auto,16777.61,0.6549,158,13.51,52,employed,6.8,4.2,0.17184
2023H2,unsecured,7667.43,,137,6.84,58,employed,7.2,1.8,0.7363
2021H2,personal_secured,21873.86,0.8784,171,17.52,38,employed,7.9,5.6,0.31792
2021H1,personal_secured,5781.21,0.7354,128,22.99,64,retired,8.7,1.4,0.45029
2021H2,unsecured,16937.5,,113,5.65,34,employed,7.9,5.6,0.61945
2020H2,unsecured,13522.04,,186,9.53,57,retired,9.6,-3.2,0.70309
2020H1,mortgage,107349.7,0.8007,140,28.51,57,employed,9.2,-1.5,0.40797
2023H2,auto,10646.27,0.9704,111,7.9,50,employed,7.2,1.8,0.47451
2023H1,mortgage,77773.19,0.8363,123,18.86,51,employed,7.6,-2.1,0.23949
2019H2,unsecured,7837.27,,109,11.45,40,self_employed,6.9,3.8,0.86237
2022H2,mortgage,99837.28,0.8741,127,22.35,45,employed,8.1,-4.4,0.15949
2023H2,mortgage,51084.32,0.9396,113,19.79,48,employed,7.2,1.8,0.13011
2022H2,mortgage,53823.01,0.8983,99,21.78,47,employed,8.1,-4.4,0.19756
2021H1,mortgage,124412.72,0.6252,194,18.4,61,self_employed,8.7,1.4,0.10048
2020H2,unsecured,3328.66,,148,9.25,29,employed,9.6,-3.2,0.88277
2023H1,mortgage,55580.57,0.6531,142,15.29,20,unemployed,7.6,-2.1,0.37976
2020H2,personal_secured,23039.93,0.9557,166,14.63,40,self_employed,9.6,-3.2,0.81234
2021H2,auto,10641.89,0.5772,209,5.69,45,employed,7.9,5.6,0.27297
2020H1,personal_secured,9852.14,0.7097,167,23.75,22,employed,9.2,-1.5,0.61955
2022H1,mortgage,24503.81,0.6473,192,20.4,28,employed,7.4,3.1,0.37005
2022H1,unsecured,978.96,,103,9.63,50,unemployed,7.4,3.1,0.73465
2022H2,unsecured,7783.55,,112,8.11,45,employed,8.1,-4.4,0.71183
2019H1,auto,27763.96,0.9035,135,14.25,39,unemployed,6.8,4.2,0.37502
2021H1,mortgage,47557.27,0.9384,119,25.65,41,employed,8.7,1.4,0.22916
2022H2,mortgage,39030.74,0.9378,93,19.0,46,employed,8.1,-4.4,0.35809
2020H1,unsecured,5549.82,,125,14.8,42,employed,9.2,-1.5,0.91103
2022H1,unsecured,16699.55,,178,9.34,20,employed,7.4,3.1,0.50377
2023H2,unsecured,4525.54,,180,4.28,41,unemployed,7.2,1.8,0.65739
2023H1,mortgage,65497.9,0.7173,186,26.02,49,employed,7.6,-2.1,0.17112
2022H2,auto,18615.67,0.5647,168,9.92,53,employed,8.1,-4.4,0.48731
2019H2,unsecured,11524.07,,153,12.46,62,self_employed,6.9,3.8,0.83721
2023H2,mortgage,67973.38,0.5977,125,16.91,26,employed,7.2,1.8,0.19721
2020H2,mortgage,217678.67,0.626,181,27.99,40,employed,9.6,-3.2,0.34754
2023H2,unsecured,4364.73,,90,12.75,41,employed,7.2,1.8,0.79068
2021H1,mortgage,232350.78,0.769,158,22.46,34,employed,8.7,1.4,0.21837
2021H2,auto,14474.55,0.8039,136,19.12,32,retired,7.9,5.6,0.37597
2020H1,mortgage,169499.57,0.7051,104,27.91,54,employed,9.2,-1.5,0.1436
2019H1,mortgage,68804.51,0.8688,153,22.13,46,employed,6.8,4.2,0.22941
2020H2,mortgage,304307.6,0.6412,154,22.12,48,unemployed,9.6,-3.2,0.11564
2021H2,unsecured,15047.57,,111,9.63,37,employed,7.9,5.6,0.69481
2021H1,mortgage,101002.48,0.7307,104,12.57,49,employed,8.7,1.4,0.26405
2022H1,auto,22949.55,0.7894,124,20.04,61,employed,7.4,3.1,0.34076
2020H1,mortgage,193806.97,0.7023,144,25.21,77,employed,9.2,-1.5,0.26719
2023H1,mortgage,101364.42,0.7215,130,25.37,44,employed,7.6,-2.1,0.3224
2021H1,mortgage,298045.93,0.4098,177,19.11,52,employed,8.7,1.4,0.02108
2020H2,unsecured,12702.92,,106,5.28,62,employed,9.6,-3.2,0.6918
2023H1,auto,17966.05,0.8899,138,10.82,68,employed,7.6,-2.1,0.38505
2019H1,unsecured,8086.21,,142,3.0,42,employed,6.8,4.2,0.62029
2020H2,unsecured,10871.16,,90,13.39,74,employed,9.6,-3.2,0.80485
2019H2,mortgage,201849.26,0.5699,183,22.81,29,employed,6.9,3.8,0.01778
2023H1,mortgage,76007.49,0.6604,117,14.04,54,employed,7.6,-2.1,0.15154
2019H1,auto,20234.2,0.7372,106,7.66,32,employed,6.8,4.2,0.3302
2021H1,personal_secured,7148.03,0.6234,105,14.79,33,employed,8.7,1.4,0.36092
2022H2,mortgage,144227.91,0.7316,108,21.88,60,employed,8.1,-4.4,0.25027
2022H1,mortgage,208859.21,0.5557,188,21.99,34,employed,7.4,3.1,0.00922
2023H1,auto,12102.3,0.6758,133,8.74,33,employed,7.6,-2.1,0.31647
2019H2,unsecured,8017.31,,146,10.56,41,employed,6.9,3.8,0.84266
2020H2,mortgage,86773.86,0.6578,140,22.19,40,employed,9.6,-3.2,0.10448
2020H2,mortgage,133550.21,0.9035,91,38.66,45,retired,9.6,-3.2,0.30918
2023H2,unsecured,5172.16,,120,4.89,45,employed,7.2,1.8,0.90778
2021H1,mortgage,193369.45,0.9815,173,16.84,37,self_employed,8.7,1.4,0.21724
2019H2,mortgage,85627.0,0.8548,186,23.95,28,employed,6.9,3.8,0.15118
2023H1,mortgage,155151.99,0.7852,145,25.39,50,self_employed,7.6,-2.1,0.38928
2021H1,auto,15693.74,0.7891,183,7.06,32,employed,8.7,1.4,0.32792
2020H1,mortgage,115125.27,0.8769,175,27.22,38,employed,9.2,-1.5,0.40117
2023H2,mortgage,95669.09,0.7368,182,15.19,49,self_employed,7.2,1.8,0.42748
2020H1,auto,13129.54,0.8023,101,19.82,40,employed,9.2,-1.5,0.75402
