vintage,product,credit_limit_eur,drawn_t0_eur,utilisation_t0,time_to_default_months,risk_score_t0,min_payment_ratio,borrower_age,unemployment_pct,gdp_yoy_pct,ccf_realised,utilisation_default,ead_eur
2023H1,credit_card,3668.08,932.3,0.2542,7,0.9378,0.1222,80,7.6,0.6,0.94917,0.9621,3529.02
2022H1,overdraft,1637.18,878.38,0.5365,11,0.4675,0.3919,24,7.4,2.4,0.98293,0.9921,1624.23
2021H2,credit_card,13565.87,2739.26,0.2019,4,0.3243,0.4031,49,7.9,4.5,0.59983,0.6806,9233.4
2023H2,credit_card,9668.72,3684.31,0.3811,10,0.5057,0.5002,59,7.2,1.4,0.48388,0.6805,6580.02
2019H1,credit_card,2767.88,1484.55,0.5364,10,0.7789,0.2041,41,6.8,2.1,0.78341,0.8996,2489.93
2022H1,credit_card,8690.48,4653.99,0.5355,12,0.4728,0.1635,20,7.4,2.4,0.73406,0.8765,7617.02
2020H1,credit_card,5765.86,1499.13,0.26,7,0.7388,0.3709,38,9.2,-3.4,0.63805,0.7322,4221.5
2020H2,overdraft,1720.38,654.16,0.3802,7,0.5555,0.3397,33,9.6,-2.1,0.64938,0.7827,1346.55
2023H1,credit_card,2955.67,317.09,0.1073,4,0.2445,0.3835,53,7.6,0.6,0.26563,0.3444,1017.97
2021H2,credit_card,6908.21,1331.19,0.1927,3,0.2947,0.5531,32,7.9,4.5,0.15938,0.3214,2220.03
2022H1,credit_card,2269.89,823.08,0.3626,5,0.2002,0.266,47,7.4,2.4,0.55076,0.7137,1619.92
2020H1,overdraft,5334.1,2897.56,0.5432,5,0.4309,0.8241,33,9.2,-3.4,0.64393,0.8374,4466.52
2020H2,line_of_credit,41544.46,2955.1,0.0711,8,0.6503,0.6716,48,9.6,-2.1,0.92212,0.9277,38539.26
2019H2,overdraft,3173.64,1845.45,0.5815,4,0.6093,0.4047,37,6.9,1.9,0.61883,0.8405,2667.37
2021H1,overdraft,3180.34,1086.39,0.3416,10,0.5601,0.22,32,8.7,3.8,0.94499,0.9638,3065.16
2022H1,line_of_credit,34263.35,16835.06,0.4913,11,0.2078,0.5739,51,7.4,2.4,0.23629,0.6115,20953.18
2021H1,overdraft,2456.07,1201.38,0.4891,11,0.3334,0.2611,32,8.7,3.8,0.80735,0.9016,2214.35
2023H2,overdraft,2308.05,716.78,0.3106,6,0.8765,0.057,61,7.2,1.4,0.72502,0.8104,1870.48
2022H1,credit_card,8211.95,1296.8,0.1579,11,0.6819,0.4071,46,7.4,2.4,0.60636,0.6685,5489.84
2020H1,credit_card,9951.44,3121.25,0.3136,10,0.7313,0.4267,49,9.2,-3.4,0.45983,0.6293,6261.99
2019H1,line_of_credit,41393.73,1545.33,0.0373,7,0.8381,0.6398,50,6.8,2.1,0.76892,0.7775,32185.49
2021H1,line_of_credit,58354.77,7005.62,0.1201,9,0.4373,0.4769,31,8.7,3.8,0.86172,0.8783,51254.18
2022H2,credit_card,4954.31,2654.4,0.5358,3,0.215,0.6415,35,8.1,-0.8,0.41194,0.727,3601.82
2021H1,credit_card,6672.01,1690.36,0.2534,10,0.8231,0.6117,52,8.7,3.8,0.80674,0.8557,5709.27
2022H1,credit_card,15398.09,7264.54,0.4718,10,0.7697,0.5712,30,7.4,2.4,0.81705,0.9034,13910.06
2023H2,credit_card,2578.72,243.93,0.0946,3,0.3202,0.4458,58,7.2,1.4,0.24316,0.3148,811.67
2023H1,credit_card,1482.2,814.93,0.5498,3,0.2332,0.5218,59,7.6,0.6,0.83482,0.9256,1371.98
2020H1,line_of_credit,14484.61,5853.01,0.4041,7,0.6914,0.3743,63,9.2,-3.4,0.92212,0.9536,13812.42
2019H2,credit_card,7069.35,2626.67,0.3716,9,0.2697,0.3767,41,6.9,1.9,0.66988,0.7925,5602.72
2022H2,line_of_credit,65693.82,33858.39,0.5154,4,0.6501,0.7562,50,8.1,-0.8,0.35954,0.6896,45304.44
2021H2,credit_card,2145.02,236.2,0.1101,3,0.274,0.7258,35,7.9,4.5,0.42594,0.4892,1049.25
2020H1,credit_card,2674.77,1586.39,0.5931,6,0.6251,0.6655,50,9.2,-3.4,0.20199,0.6753,1806.24
2022H2,line_of_credit,12813.06,5653.43,0.4412,4,0.5059,0.6584,35,8.1,-0.8,0.65413,0.8067,10336.72
2022H1,credit_card,5059.1,2598.57,0.5136,10,0.7035,0.3773,47,7.4,2.4,0.71447,0.8611,4356.54
2021H1,credit_card,5130.14,788.0,0.1536,7,0.5871,0.4194,34,8.7,3.8,0.64509,0.6996,3589.07
2019H2,credit_card,7676.41,3874.33,0.5047,4,0.47,0.3273,52,6.9,1.9,0.77739,0.8897,6830.02
2022H1,overdraft,3883.07,1800.07,0.4636,7,0.7225,0.4515,41,7.4,2.4,0.70952,0.8442,3278.01
2019H2,credit_card,2846.45,782.24,0.2748,4,0.892,0.5376,25,6.9,1.9,0.7442,0.8145,2318.43
2022H1,overdraft,3910.83,893.13,0.2284,3,0.4406,0.2638,27,7.4,2.4,0.87144,0.9008,3522.88
2022H2,overdraft,3012.46,527.41,0.1751,12,0.7283,0.2458,71,8.1,-0.8,0.69332,0.747,2250.35
2022H2,credit_card,4217.41,1245.13,0.2952,4,0.3373,0.3363,20,8.1,-0.8,0.79061,0.8524,3595.04
2020H2,credit_card,2604.58,291.17,0.1118,12,0.5105,0.7692,52,9.6,-2.1,0.2999,0.3782,984.97
2020H1,line_of_credit,41118.7,15696.14,0.3817,4,0.4778,0.5669,69,9.2,-3.4,0.66706,0.7942,32654.44
2023H1,credit_card,3107.95,1386.68,0.4462,5,0.8362,0.4441,33,7.6,0.6,0.83567,0.909,2825.09
2022H2,credit_card,16433.23,8043.91,0.4895,9,0.3621,0.3852,32,8.1,-0.8,0.26517,0.6249,10268.54
2021H2,credit_card,1778.34,904.19,0.5084,10,0.8896,0.3318,38,7.9,4.5,0.78835,0.896,1593.33
2023H2,credit_card,6859.33,3398.17,0.4954,6,0.6852,0.5117,34,7.2,1.4,0.78673,0.8924,6121.18
2020H2,credit_card,3903.22,848.86,0.2175,10,0.8732,0.5113,43,9.6,-2.1,0.72745,0.7867,3070.76
2022H1,credit_card,3106.18,759.27,0.2444,10,0.5375,0.4797,49,7.4,2.4,0.64947,0.7352,2283.51
2020H1,line_of_credit,31369.94,12243.14,0.3903,12,0.3339,0.5283,38,9.2,-3.4,0.69385,0.8133,25514.26
2021H2,credit_card,10307.76,5387.59,0.5227,5,0.8587,0.1784,58,7.9,4.5,0.8583,0.9324,9610.56
2023H2,overdraft,3165.37,1363.44,0.4307,12,0.4284,0.6307,47,7.2,1.4,0.59801,0.7712,2441.01
2022H2,credit_card,7437.53,1107.76,0.1489,9,0.5833,0.2608,26,8.1,-0.8,0.40594,0.4944,3677.26
2022H1,overdraft,4598.15,511.47,0.1112,3,0.404,0.5355,67,7.4,2.4,0.68302,0.7183,3302.76
2022H1,overdraft,2259.09,1522.72,0.674,3,0.4927,0.5593,56,7.4,2.4,0.83467,0.9461,2137.35
2023H2,credit_card,1479.05,321.46,0.2173,3,0.1952,0.3886,52,7.2,1.4,0.49701,0.6063,896.8
2021H2,credit_card,8622.67,3427.89,0.3975,11,0.397,0.4118,26,7.9,4.5,0.93859,0.963,8303.67
2020H1,overdraft,2031.26,784.66,0.3863,8,0.2743,0.3922,46,9.2,-3.4,0.79786,0.8759,1779.27
2022H2,credit_card,3612.36,1563.64,0.4329,8,0.52,0.5111,42,8.1,-0.8,0.71472,0.8382,3027.9
2019H2,line_of_credit,11009.5,454.85,0.0413,4,0.1879,0.4694,30,6.9,1.9,0.37973,0.4054,4462.76
2019H2,overdraft,6146.88,3716.24,0.6046,3,0.307,0.4734,63,6.9,1.9,0.5844,0.8357,5136.7
2020H2,credit_card,7468.47,5620.93,0.7526,8,0.3874,0.3612,24,9.6,-2.1,0.70029,0.9259,6914.74
2023H2,credit_card,2341.81,870.54,0.3717,5,0.6612,0.3373,26,7.2,1.4,0.39478,0.6198,1451.36
2019H1,line_of_credit,74599.64,26943.15,0.3612,12,0.5237,0.7139,24,6.8,2.1,0.9424,0.9632,71854.71
2022H1,overdraft,6348.99,2708.74,0.4266,6,0.8973,0.2958,30,7.4,2.4,0.85082,0.9145,5805.94
2019H2,overdraft,2474.44,1038.94,0.4199,5,0.4211,0.6314,29,6.9,1.9,0.87903,0.9298,2300.79
2021H2,overdraft,2216.17,540.76,0.244,7,0.2934,0.6756,56,7.9,4.5,0.42601,0.5661,1254.51
2023H2,credit_card,7549.13,4034.08,0.5344,7,0.1532,0.5788,69,7.2,1.4,0.25711,0.6541,4937.83
2021H2,overdraft,2442.4,283.08,0.1159,8,0.7416,0.571,40,7.9,4.5,0.58046,0.6291,1536.48
2021H2,overdraft,5081.19,1294.52,0.2548,6,0.7066,0.421,62,7.9,4.5,0.3999,0.5528,2808.8
2019H2,line_of_credit,19627.47,3181.45,0.1621,4,0.6404,0.322,51,6.9,1.9,0.64698,0.7042,13821.65
2020H1,overdraft,1510.04,372.13,0.2464,12,0.189,0.7389,43,9.2,-3.4,0.52738,0.6438,972.24
2020H2,credit_card,10069.07,1366.32,0.1357,4,0.1733,0.639,32,9.6,-2.1,0.41542,0.4947,4981.58
2022H2,line_of_credit,33306.65,2958.59,0.0888,12,0.4912,0.7039,29,8.1,-0.8,0.74327,0.7661,25515.26
2021H1,credit_card,2212.1,926.03,0.4186,4,0.3867,0.5026,48,8.7,3.8,0.53587,0.7302,1615.19
2021H1,credit_card,3339.74,2756.23,0.8253,6,0.7999,0.3089,38,8.7,3.8,0.74026,0.9546,3188.18
2020H2,line_of_credit,50702.3,12552.04,0.2476,10,0.4142,0.4216,51,9.6,-2.1,0.74415,0.8075,40941.39
2023H1,credit_card,3055.94,1166.86,0.3818,12,0.528,0.768,43,7.6,0.6,0.29912,0.5667,1731.92
2020H1,overdraft,2758.47,1013.57,0.3674,6,0.5189,0.3802,56,9.2,-3.4,0.70457,0.8131,2242.98
2023H2,credit_card,14018.08,7607.95,0.5427,10,0.9175,0.4801,50,7.2,1.4,0.90644,0.9572,13418.37
2022H1,overdraft,3522.62,688.23,0.1954,9,0.2618,0.5117,45,7.4,2.4,0.49643,0.5948,2095.3
2020H2,overdraft,4115.66,970.44,0.2358,4,0.4222,0.5212,52,9.6,-2.1,0.52701,0.6385,2628.0
2020H1,credit_card,4519.84,2280.83,0.5046,10,0.5835,0.3052,46,9.2,-3.4,0.61509,0.8093,3658.03
2020H1,credit_card,5165.62,2333.45,0.4517,5,0.3454,0.4983,31,9.2,-3.4,0.64936,0.8078,4172.54
2023H1,credit_card,5068.53,2948.5,0.5817,9,0.3246,0.5014,20,7.6,0.6,0.85212,0.9381,4755.03
2020H1,credit_card,11748.77,2362.97,0.2011,7,0.4601,0.4321,39,9.2,-3.4,0.47097,0.5774,6783.43
2023H2,overdraft,3366.0,1550.3,0.4606,4,0.4677,0.4502,34,7.2,1.4,0.68133,0.8281,2787.39
2022H1,line_of_credit,97600.6,67088.36,0.6874,8,0.1051,0.3272,53,7.4,2.4,0.87412,0.9606,93759.78
2023H2,line_of_credit,9815.98,3868.14,0.3941,12,0.9029,0.2113,39,7.2,1.4,0.90991,0.9454,9280.11
2019H2,credit_card,2859.67,325.29,0.1138,9,0.3322,0.1781,31,6.9,1.9,0.66541,0.7035,2011.68
2020H1,credit_card,17586.91,1759.61,0.1001,6,0.2259,0.4657,62,9.2,-3.4,0.70785,0.7371,12963.02
2019H2,overdraft,5163.26,2386.63,0.4622,9,0.6306,0.2942,41,6.9,1.9,0.66611,0.8204,4236.18
2023H2,overdraft,5585.73,3091.38,0.5534,6,0.5186,0.5937,44,7.2,1.4,0.59474,0.819,4574.87
2022H2,line_of_credit,25853.76,7945.28,0.3073,3,0.7073,0.4597,40,8.1,-0.8,0.89309,0.9259,23939.19
2021H2,credit_card,5029.91,1806.2,0.3591,8,0.2014,0.6676,57,7.9,4.5,0.35403,0.586,2947.5
2022H2,line_of_credit,70079.68,7551.43,0.1078,3,0.2309,0.4963,46,8.1,-0.8,0.61029,0.6523,45711.51
2022H2,line_of_credit,12473.19,7341.48,0.5886,9,0.1721,0.5587,46,8.1,-0.8,0.62783,0.8469,10563.33
2019H2,credit_card,7122.73,6113.33,0.8583,5,0.5139,0.228,33,6.9,1.9,0.49672,0.9287,6614.72
2019H2,credit_card,8125.89,1348.24,0.1659,10,0.6366,0.3136,72,6.9,1.9,0.50298,0.5854,4757.25
2019H2,overdraft,5442.22,2205.31,0.4052,10,0.383,0.5413,26,6.9,1.9,0.87445,0.9253,5035.82
2023H1,line_of_credit,12439.62,8553.28,0.6876,12,0.509,0.4637,62,7.6,0.6,0.9043,0.9701,12067.69
2019H2,overdraft,7204.28,2325.05,0.3227,11,0.504,0.167,28,6.9,1.9,0.8678,0.9105,6559.25
2019H2,credit_card,10260.39,3764.9,0.3669,12,0.2042,0.1626,54,6.9,1.9,0.44019,0.6456,6624.13
2023H2,overdraft,4693.03,1737.68,0.3703,12,0.5349,0.05,52,7.2,1.4,0.90872,0.9425,4423.25
2023H1,credit_card,4396.14,2932.67,0.6671,11,0.558,0.5638,51,7.6,0.6,0.49197,0.8309,3652.65
2020H1,credit_card,5688.77,1068.14,0.1878,3,0.2894,0.3532,32,9.2,-3.4,0.39694,0.5102,2902.24
2021H2,overdraft,3044.17,825.88,0.2713,8,0.2987,0.2714,20,7.9,4.5,0.62436,0.7263,2210.9
2020H2,credit_card,18412.44,8576.7,0.4658,4,0.4582,0.1754,48,9.6,-2.1,0.88904,0.9407,17321.06
2023H2,credit_card,5649.98,2628.43,0.4652,5,0.2941,0.4777,38,7.2,1.4,0.57769,0.7742,4373.96
2022H1,overdraft,1939.7,179.63,0.0926,8,0.4446,0.2991,37,7.4,2.4,0.84758,0.8617,1671.44
2023H2,credit_card,6396.89,2642.98,0.4132,5,0.5151,0.5278,41,7.2,1.4,0.60782,0.7699,4924.67
2020H2,credit_card,4794.35,1686.91,0.3519,10,0.8169,0.6785,52,9.6,-2.1,0.66502,0.7829,3753.43
2023H2,credit_card,8997.51,3586.91,0.3987,6,0.375,0.5791,31,7.2,1.4,0.59592,0.757,6811.2
2023H1,line_of_credit,21872.02,13174.58,0.6023,3,0.3191,0.2729,56,7.6,0.6,0.8824,0.9532,20849.19
2022H2,credit_card,2420.79,507.27,0.2095,4,0.6562,0.4917,32,8.1,-0.8,0.65952,0.7309,1769.27
2022H2,overdraft,2428.35,948.96,0.3908,5,0.4215,0.6706,37,8.1,-0.8,0.60375,0.7586,1842.14
2022H1,line_of_credit,86540.39,14205.63,0.1642,3,0.5615,0.5153,50,7.4,2.4,0.59534,0.6618,57269.69
2022H2,credit_card,6156.09,2189.28,0.3556,4,0.6998,0.4982,50,8.1,-0.8,0.73738,0.8308,5114.34
2021H2,credit_card,2301.22,1813.95,0.7883,8,0.7982,0.6515,20,7.9,4.5,0.55579,0.9059,2084.77
2023H2,overdraft,6384.48,3087.08,0.4835,6,0.3836,0.5331,33,7.2,1.4,0.81142,0.9026,5762.67
2021H1,credit_card,6342.62,5286.76,0.8335,9,0.4591,0.4603,25,8.7,3.8,0.8134,0.9689,6145.6
2020H1,credit_card,8211.17,5170.46,0.6297,9,0.4434,0.5295,61,9.2,-3.4,0.51598,0.8208,6739.41
2023H2,credit_card,10745.52,8096.95,0.7535,9,0.5759,0.4443,24,7.2,1.4,0.87634,0.9695,10418.0
2021H1,credit_card,9632.88,1380.36,0.1433,11,0.1408,0.392,53,8.7,3.8,0.53516,0.6018,5796.78
2020H1,overdraft,3134.83,887.18,0.283,4,0.1793,0.2959,46,9.2,-3.4,0.90397,0.9311,2918.99
2020H1,credit_card,6981.84,2566.74,0.3676,3,0.5417,0.2615,42,9.2,-3.4,0.58541,0.7378,5151.37
2021H2,credit_card,7929.31,3286.11,0.4144,5,0.2971,0.7512,34,7.9,4.5,0.40524,0.6517,5167.72
2023H2,credit_card,5575.99,2651.59,0.4755,9,0.6808,0.2565,48,7.2,1.4,0.92044,0.9583,5343.33
2019H2,overdraft,3611.18,1121.49,0.3106,9,0.7473,0.5102,46,6.9,1.9,0.78157,0.8494,3067.36
2022H2,credit_card,3762.84,1767.23,0.4697,11,0.5065,0.266,23,8.1,-0.8,0.76165,0.8736,3287.19
2023H1,credit_card,4114.25,3073.54,0.747,6,0.6523,0.5935,63,7.6,0.6,0.58602,0.8953,3683.42
2019H2,credit_card,6838.39,2915.15,0.4263,10,0.6904,0.2122,34,6.9,1.9,0.68708,0.8205,5610.71
2020H1,credit_card,4286.71,1986.28,0.4634,11,0.6932,0.1502,45,9.2,-3.4,0.77935,0.8816,3779.13
2022H1,credit_card,1656.47,1316.08,0.7945,12,0.2246,0.4625,39,7.4,2.4,0.50175,0.8976,1486.87
2023H1,line_of_credit,24690.13,3276.3,0.1327,3,0.5008,0.6095,49,7.6,0.6,0.93136,0.9405,23220.21
2020H2,credit_card,3866.14,531.83,0.1376,4,0.4641,0.6355,40,9.6,-2.1,0.85478,0.8748,3381.94
2023H1,line_of_credit,40515.05,7030.27,0.1735,3,0.7049,0.4189,32,7.6,0.6,0.65976,0.7188,29122.24
2022H2,overdraft,3271.77,1321.61,0.4039,4,0.3425,0.2215,32,8.1,-0.8,0.91432,0.9489,3104.69
2023H1,overdraft,1689.4,414.53,0.2454,4,0.2645,0.5967,57,7.6,0.6,0.29055,0.4646,784.95
2022H1,credit_card,3212.64,680.35,0.2118,7,0.3536,0.3955,53,7.4,2.4,0.48375,0.5931,1905.35
2022H2,line_of_credit,25175.23,17574.43,0.6981,4,0.4315,0.4864,20,8.1,-0.8,0.64825,0.8938,22501.62
2022H1,credit_card,3309.64,1946.43,0.5881,7,0.7848,0.5285,48,7.4,2.4,0.91235,0.9639,3190.16
2019H2,credit_card,3045.07,118.29,0.0388,3,0.4498,0.5791,33,6.9,1.9,0.7344,0.7447,2267.73
2023H2,overdraft,4137.61,2451.61,0.5925,6,0.5306,0.3501,39,7.2,1.4,0.89945,0.959,3968.08
2020H2,overdraft,1018.43,274.48,0.2695,8,0.4686,0.3846,41,9.6,-2.1,0.80352,0.8565,872.26
2023H1,credit_card,1556.15,507.42,0.3261,5,0.333,0.5092,32,7.6,0.6,0.53251,0.6849,1065.88
2019H1,credit_card,13256.13,2840.15,0.2143,6,0.5007,0.5136,20,6.8,2.1,0.33229,0.4754,6301.32
2023H2,credit_card,4340.61,1797.95,0.4142,8,0.1949,0.4385,41,7.2,1.4,0.37113,0.6316,2741.61
2023H1,line_of_credit,28058.0,1594.04,0.0568,6,0.3571,0.6804,27,7.6,0.6,0.77149,0.7845,22010.82
2021H1,line_of_credit,6205.07,2474.96,0.3989,4,0.4187,0.3242,47,8.7,3.8,0.5895,0.7532,4673.85
2023H2,overdraft,2488.97,940.36,0.3778,6,0.1587,0.5042,31,7.2,1.4,0.46213,0.6653,1656.02
2020H1,line_of_credit,26049.75,7929.58,0.3044,7,0.7382,0.2957,41,9.2,-3.4,0.90146,0.9315,24264.23
2020H2,overdraft,3566.69,941.46,0.264,11,0.5367,0.2692,55,9.6,-2.1,0.57644,0.6882,2454.75
2020H1,overdraft,2384.32,1031.89,0.4328,7,0.1251,0.825,56,9.2,-3.4,0.60524,0.7761,1850.44
2022H1,credit_card,4099.64,1644.77,0.4012,5,0.5732,0.4123,20,7.4,2.4,0.69374,0.8166,3347.81
2021H2,credit_card,1524.23,554.18,0.3636,7,0.2707,0.4012,39,7.9,4.5,0.37428,0.6018,917.25
2023H2,overdraft,3806.73,1295.52,0.3403,10,0.3902,0.4842,57,7.2,1.4,0.70584,0.8059,3068.03
2019H1,line_of_credit,47682.64,25441.7,0.5336,3,0.6621,0.6718,57,6.8,2.1,0.61709,0.8214,39166.29
2022H1,line_of_credit,19992.84,8055.61,0.4029,8,0.0705,0.5549,36,7.4,2.4,0.7386,0.8439,16872.44
2021H2,line_of_credit,21033.71,9865.14,0.469,10,0.2559,0.3963,46,7.9,4.5,0.71759,0.85,17879.62
2021H2,overdraft,3193.19,909.4,0.2848,3,0.4621,0.1631,33,7.9,4.5,0.76485,0.8318,2656.17
2020H2,line_of_credit,50923.55,16628.3,0.3265,3,0.7991,0.577,48,9.6,-2.1,0.88304,0.9212,46912.42
2023H2,overdraft,1821.23,747.84,0.4106,6,0.1213,0.2713,41,7.2,1.4,0.31223,0.5946,1082.99
2021H1,overdraft,3191.65,365.64,0.1146,7,0.4563,0.2246,28,8.7,3.8,0.77228,0.7984,2548.1
2019H1,credit_card,4174.12,1916.88,0.4592,11,0.2283,0.3021,33,6.8,2.1,0.54063,0.7516,3137.21
2022H1,overdraft,2227.16,335.36,0.1506,12,0.4965,0.2566,27,7.4,2.4,0.86546,0.8857,1972.64
2022H1,credit_card,7570.32,6196.68,0.8185,12,0.6399,0.4581,32,7.4,2.4,0.6564,0.9377,7098.34
2019H2,credit_card,3428.31,1463.28,0.4268,9,0.1881,0.5283,38,6.9,1.9,0.42193,0.6687,2292.38
2023H2,overdraft,2720.7,1030.39,0.3787,6,0.3837,0.4219,51,7.2,1.4,0.57213,0.7342,1997.47
2023H2,line_of_credit,38686.23,8633.15,0.2232,7,0.1016,0.5236,25,7.2,1.4,0.7663,0.8185,31662.79
2022H2,credit_card,4867.97,1265.82,0.26,10,0.5677,0.5989,22,8.1,-0.8,0.77878,0.8363,4071.11
2023H2,overdraft,2834.72,1232.91,0.4349,10,0.1484,0.3523,48,7.2,1.4,0.80391,0.8892,2520.63
2019H1,overdraft,2523.89,1043.06,0.4133,11,0.6076,0.6462,42,6.8,2.1,0.67092,0.8069,2036.58
2019H1,credit_card,4917.24,871.77,0.1773,11,0.4407,0.5845,32,6.8,2.1,0.57718,0.6521,3206.73
2019H2,credit_card,3242.1,2505.14,0.7727,3,0.5906,0.5247,71,6.9,1.9,0.42327,0.8689,2817.07
2020H2,credit_card,12434.61,4135.77,0.3326,11,0.3819,0.4957,35,9.6,-2.1,0.77864,0.8523,10597.56
2019H2,credit_card,1958.86,822.5,0.4199,12,0.1131,0.6764,52,6.9,1.9,0.63704,0.7894,1546.41
2023H2,credit_card,6917.69,2304.75,0.3332,7,0.239,0.5622,44,7.2,1.4,0.49559,0.6636,4590.87
2020H1,overdraft,2206.5,1409.05,0.6386,6,0.5841,0.4135,42,9.2,-3.4,0.68157,0.8849,1952.57
2020H1,credit_card,5819.03,3740.38,0.6428,7,0.2335,0.1944,40,9.2,-3.4,0.5753,0.8483,4936.22
2020H1,credit_card,8647.65,7160.59,0.828,9,0.1508,0.7343,50,9.2,-3.4,0.58897,0.9293,8036.42
2021H2,overdraft,2237.05,886.96,0.3965,6,0.561,0.6701,31,7.9,4.5,0.83427,0.9,2013.3
2021H1,overdraft,3014.01,398.24,0.1321,6,0.46,0.2132,32,8.7,3.8,0.7914,0.819,2468.37
2020H1,overdraft,2258.82,794.76,0.3518,5,0.8425,0.4375,61,9.2,-3.4,0.77558,0.8545,1930.25
2022H1,line_of_credit,114271.81,29083.61,0.2545,11,0.569,0.7894,34,7.4,2.4,0.76619,0.8257,94354.3
2023H1,line_of_credit,15043.1,6911.85,0.4595,4,0.4155,0.3641,60,7.6,0.6,0.44902,0.7022,10562.93
2022H1,overdraft,3853.1,742.75,0.1928,7,0.6244,0.3907,59,7.4,2.4,0.8373,0.8687,3347.04
2023H2,credit_card,6403.27,2307.56,0.3604,5,0.5087,0.3731,36,7.2,1.4,0.60702,0.7486,4793.76
2022H2,overdraft,1440.73,273.05,0.1895,3,0.4056,0.8467,54,8.1,-0.8,0.7749,0.8176,1177.88
2020H2,line_of_credit,16845.03,5467.67,0.3246,9,0.7786,0.7723,51,9.6,-2.1,0.73966,0.8242,13883.1
2023H2,line_of_credit,111384.72,6161.97,0.0553,3,0.4606,0.2351,33,7.2,1.4,0.78704,0.7988,88976.14
2021H1,line_of_credit,11766.8,1999.01,0.1699,7,0.394,0.4641,61,8.7,3.8,0.632,0.6945,8172.22
2022H1,credit_card,4667.31,425.31,0.0911,11,0.2413,0.2934,42,7.4,2.4,0.64952,0.6815,3180.57
2022H1,credit_card,5599.22,2561.48,0.4575,4,0.6671,0.6471,20,7.4,2.4,0.54438,0.7528,4215.16
2022H2,credit_card,23517.4,7123.04,0.3029,9,0.5082,0.387,32,8.1,-0.8,0.77068,0.8401,19757.91
2022H2,credit_card,12836.59,7119.93,0.5547,6,0.3699,0.7269,45,8.1,-0.8,0.56193,0.8049,10332.29
2023H2,overdraft,3193.2,938.52,0.2939,12,0.606,0.1271,33,7.2,1.4,0.83976,0.8869,2831.91
2023H2,overdraft,2711.54,1141.76,0.4211,12,0.2715,0.2425,32,7.2,1.4,0.71827,0.8369,2269.29
2022H1,credit_card,7144.98,5328.3,0.7457,11,0.5887,0.668,49,7.4,2.4,0.76195,0.9395,6712.52
2023H1,credit_card,3385.06,1587.62,0.469,11,0.392,0.0857,32,7.6,0.6,0.65374,0.8161,2762.68
2020H1,credit_card,11220.68,1556.25,0.1387,10,0.1345,0.5519,37,9.2,-3.4,0.93287,0.9422,10571.94
2021H2,credit_card,4413.61,2040.61,0.4623,4,0.2026,0.5918,25,7.9,4.5,0.74853,0.8648,3816.88
2023H1,overdraft,1845.24,779.57,0.4225,11,0.296,0.5108,34,7.6,0.6,0.57323,0.7535,1390.45
2022H1,credit_card,4604.51,879.99,0.1911,8,0.1816,0.5013,25,7.4,2.4,0.68581,0.7459,3434.32
2020H2,credit_card,5170.68,1130.57,0.2186,5,0.4015,0.4238,37,9.6,-2.1,0.66149,0.7355,3803.04
2019H2,credit_card,2842.15,1669.19,0.5873,3,0.2063,0.441,24,6.9,1.9,0.44669,0.7716,2193.14
2021H1,credit_card,7362.99,3205.1,0.4353,3,0.528,0.3441,54,8.7,3.8,0.53447,0.7371,5427.35
2023H2,credit_card,4073.77,2056.06,0.5047,7,0.8627,0.7243,40,7.2,1.4,0.45746,0.7313,2979.08
2020H1,credit_card,12616.19,8125.7,0.6441,4,0.4121,0.4166,50,9.2,-3.4,0.58673,0.8529,10760.41
2023H1,overdraft,2473.72,640.74,0.259,7,0.5318,0.1865,20,7.6,0.6,0.69869,0.7767,1921.43
2021H2,credit_card,2739.11,418.65,0.1528,6,0.3331,0.2323,36,7.9,4.5,0.50029,0.5767,1579.54
2021H1,line_of_credit,76282.47,27075.06,0.3549,8,0.7235,0.2867,33,8.7,3.8,0.71335,0.8151,62177.06
2021H1,overdraft,2339.96,261.37,0.1117,4,0.6979,0.2468,61,8.7,3.8,0.84421,0.8616,2016.13
2019H1,line_of_credit,28361.61,19575.22,0.6902,11,0.1213,0.3557,46,6.8,2.1,0.86963,0.9596,27216.17
2021H1,credit_card,6084.44,3126.8,0.5139,9,0.7052,0.6364,52,8.7,3.8,0.95185,0.9766,5942.03
2022H1,credit_card,3269.9,2395.95,0.7327,10,0.6305,0.0991,40,7.4,2.4,0.40481,0.8409,2749.73
2022H1,line_of_credit,9412.03,4958.58,0.5268,3,0.717,0.677,23,7.4,2.4,0.64756,0.8332,7842.45
2019H1,overdraft,1579.07,317.19,0.2009,11,0.3247,0.1163,57,6.8,2.1,0.84394,0.8753,1382.15
2020H2,line_of_credit,31114.76,20172.64,0.6483,9,0.5716,0.5487,51,9.6,-2.1,0.87792,0.9571,29778.97
2022H2,line_of_credit,106577.59,32597.66,0.3059,4,0.4099,0.4668,36,8.1,-0.8,0.71436,0.8017,85445.9
2023H2,credit_card,5426.75,3301.83,0.6084,11,0.265,0.3284,50,7.2,1.4,0.57547,0.8338,4524.66
2021H1,credit_card,2112.76,1314.44,0.6221,5,0.5207,0.3747,57,8.7,3.8,0.63004,0.8602,1817.41
2023H2,overdraft,1657.48,659.78,0.3981,8,0.1808,0.2496,43,7.2,1.4,0.80975,0.8855,1467.67
